split,session_label,run_order_in_session,statistical_unit,coordinate_id,value_ns,is_infinite
calibration,CAL-01,55,selected_analysis_instance,X1,100156,false
calibration,CAL-01,55,selected_analysis_instance,X2,14812,false
calibration,CAL-01,55,selected_analysis_instance,X3,829884,false
calibration,CAL-01,55,selected_analysis_instance,X4,73926,false
calibration,CAL-01,56,selected_analysis_instance,E2E,1050921,false
calibration,CAL-01,56,selected_analysis_instance,X1,100042,false
calibration,CAL-01,56,selected_analysis_instance,X2,4534,false
calibration,CAL-01,56,selected_analysis_instance,X3,839989,false
calibration,CAL-01,56,selected_analysis_instance,X4,56356,false
calibration,CAL-01,57,selected_analysis_instance,E2E,1056697,false
calibration,CAL-01,57,selected_analysis_instance,X1,100085,false
calibration,CAL-01,57,selected_analysis_instance,X2,6607,false
calibration,CAL-01,57,selected_analysis_instance,X3,838103,false
calibration,CAL-01,57,selected_analysis_instance,X4,61902,false
calibration,CAL-01,58,selected_analysis_instance,E2E,1056231,false
calibration,CAL-01,58,selected_analysis_instance,X1,100057,false
calibration,CAL-01,58,selected_analysis_instance,X2,11018,false
calibration,CAL-01,58,selected_analysis_instance,X3,833365,false
calibration,CAL-01,58,selected_analysis_instance,X4,61791,false
calibration,CAL-01,59,selected_analysis_instance,E2E,1103764,false
calibration,CAL-01,59,selected_analysis_instance,X1,100072,false
calibration,CAL-01,59,selected_analysis_instance,X2,8145,false
calibration,CAL-01,59,selected_analysis_instance,X3,836855,false
calibration,CAL-01,59,selected_analysis_instance,X4,108692,false
calibration,CAL-01,60,selected_analysis_instance,E2E,1071858,false
calibration,CAL-01,60,selected_analysis_instance,X1,100176,false
calibration,CAL-01,60,selected_analysis_instance,X2,14777,false
calibration,CAL-01,60,selected_analysis_instance,X3,830148,false
calibration,CAL-01,60,selected_analysis_instance,X4,76757,false
calibration,CAL-01,61,selected_analysis_instance,E2E,4198178,false
calibration,CAL-01,61,selected_analysis_instance,X1,100189,false
calibration,CAL-01,61,selected_analysis_instance,X2,3050537,false
calibration,CAL-01,61,selected_analysis_instance,X3,110965,false
calibration,CAL-01,61,selected_analysis_instance,X4,155439,false
calibration,CAL-01,62,selected_analysis_instance,E2E,2339845,false
calibration,CAL-01,62,selected_analysis_instance,X1,100096,false
calibration,CAL-01,62,selected_analysis_instance,X2,8412,false
calibration,CAL-01,62,selected_analysis_instance,X3,883157,false
calibration,CAL-01,62,selected_analysis_instance,X4,1298180,false
calibration,CAL-01,63,selected_analysis_instance,E2E,2095953,false
calibration,CAL-01,63,selected_analysis_instance,X1,100088,false
calibration,CAL-01,63,selected_analysis_instance,X2,983688,false
calibration,CAL-01,63,selected_analysis_instance,X3,856389,false
calibration,CAL-01,63,selected_analysis_instance,X4,105788,false
calibration,CAL-01,64,selected_analysis_instance,E2E,1048648,false
calibration,CAL-01,64,selected_analysis_instance,X1,100028,false
calibration,CAL-01,64,selected_analysis_instance,X2,3242,false
calibration,CAL-01,64,selected_analysis_instance,X3,840844,false
calibration,CAL-01,64,selected_analysis_instance,X4,54534,false
calibration,CAL-01,65,selected_analysis_instance,E2E,4102146,false
calibration,CAL-01,65,selected_analysis_instance,X1,100103,false
calibration,CAL-01,65,selected_analysis_instance,X2,2965228,false
calibration,CAL-01,65,selected_analysis_instance,X3,871579,false
calibration,CAL-01,65,selected_analysis_instance,X4,115236,false
calibration,CAL-01,66,selected_analysis_instance,E2E,1052013,false
calibration,CAL-01,66,selected_analysis_instance,X1,100025,false
calibration,CAL-01,66,selected_analysis_instance,X2,3017,false
calibration,CAL-01,66,selected_analysis_instance,X3,841343,false
calibration,CAL-01,66,selected_analysis_instance,X4,57628,false
calibration,CAL-01,67,selected_analysis_instance,E2E,3225574,false
calibration,CAL-01,67,selected_analysis_instance,X1,100084,false
calibration,CAL-01,67,selected_analysis_instance,X2,1950173,false
calibration,CAL-01,67,selected_analysis_instance,X3,51280,false
calibration,CAL-01,67,selected_analysis_instance,X4,1074037,false
calibration,CAL-01,68,selected_analysis_instance,E2E,1450457,false
calibration,CAL-01,68,selected_analysis_instance,X1,100148,false
calibration,CAL-01,68,selected_analysis_instance,X2,313603,false
calibration,CAL-01,68,selected_analysis_instance,X3,846043,false
calibration,CAL-01,68,selected_analysis_instance,X4,140663,false
calibration,CAL-01,69,selected_analysis_instance,E2E,2047358,false
calibration,CAL-01,69,selected_analysis_instance,X1,100105,false
calibration,CAL-01,69,selected_analysis_instance,X2,955594,false
calibration,CAL-01,69,selected_analysis_instance,X3,847133,false
calibration,CAL-01,69,selected_analysis_instance,X4,94526,false
calibration,CAL-01,70,selected_analysis_instance,E2E,4457298,false
calibration,CAL-01,70,selected_analysis_instance,X1,100179,false
calibration,CAL-01,70,selected_analysis_instance,X2,3023972,false
calibration,CAL-01,70,selected_analysis_instance,X3,66115,false
calibration,CAL-01,70,selected_analysis_instance,X4,473914,false
calibration,CAL-01,71,selected_analysis_instance,E2E,1052698,false
calibration,CAL-01,71,selected_analysis_instance,X1,100037,false
calibration,CAL-01,71,selected_analysis_instance,X2,4826,false
calibration,CAL-01,71,selected_analysis_instance,X3,839475,false
calibration,CAL-01,71,selected_analysis_instance,X4,58360,false
calibration,CAL-01,72,selected_analysis_instance,E2E,4093122,false
calibration,CAL-01,72,selected_analysis_instance,X1,100030,false
calibration,CAL-01,72,selected_analysis_instance,X2,3101073,false
calibration,CAL-01,72,selected_analysis_instance,X3,51504,false
calibration,CAL-01,72,selected_analysis_instance,X4,103850,false
calibration,CAL-01,73,selected_analysis_instance,E2E,1070334,false
calibration,CAL-01,73,selected_analysis_instance,X1,100160,false
calibration,CAL-01,73,selected_analysis_instance,X2,16873,false
calibration,CAL-01,73,selected_analysis_instance,X3,829684,false
calibration,CAL-01,73,selected_analysis_instance,X4,73617,false
calibration,CAL-01,74,selected_analysis_instance,E2E,1051390,false
calibration,CAL-01,74,selected_analysis_instance,X1,100040,false
calibration,CAL-01,74,selected_analysis_instance,X2,4639,false
calibration,CAL-01,74,selected_analysis_instance,X3,838982,false
calibration,CAL-01,74,selected_analysis_instance,X4,57729,false
calibration,CAL-01,75,selected_analysis_instance,E2E,1055258,false
calibration,CAL-01,75,selected_analysis_instance,X1,100070,false
calibration,CAL-01,75,selected_analysis_instance,X2,5521,false
calibration,CAL-01,75,selected_analysis_instance,X3,839201,false
calibration,CAL-01,75,selected_analysis_instance,X4,60466,false
calibration,CAL-01,76,selected_analysis_instance,E2E,1232698,false
calibration,CAL-01,76,selected_analysis_instance,X1,100119,false
calibration,CAL-01,76,selected_analysis_instance,X2,19178,false
calibration,CAL-01,76,selected_analysis_instance,X3,941329,false
calibration,CAL-01,76,selected_analysis_instance,X4,122072,false
calibration,CAL-01,77,selected_analysis_instance,E2E,1119786,false
calibration,CAL-01,77,selected_analysis_instance,X1,100179,false
calibration,CAL-01,77,selected_analysis_instance,X2,15959,false
calibration,CAL-01,77,selected_analysis_instance,X3,829996,false
calibration,CAL-01,77,selected_analysis_instance,X4,123652,false
calibration,CAL-01,78,selected_analysis_instance,E2E,1012357,false
calibration,CAL-01,78,selected_analysis_instance,X1,100028,false
calibration,CAL-01,78,selected_analysis_instance,X2,66969,false
calibration,CAL-01,78,selected_analysis_instance,X3,51883,false
calibration,CAL-01,78,selected_analysis_instance,X4,56771,false
calibration,CAL-01,79,selected_analysis_instance,E2E,1086245,false
calibration,CAL-01,79,selected_analysis_instance,X1,100033,false
