split,coordinate_id,planned_session_index,actual_session_id,n_units,median_ns,maximum_ns,failure_count,lag1_pearson,lag1_spearman
validation,X4,11,session_031,175,75187.0,134490.0,0,-0.0310030532806526,0.0341684767071424
validation,X4,12,session_032,175,75279.0,89731.0,0,-0.0039559046867121,0.0378226060888393
validation,X4,13,session_033,175,75533.0,258308.0,0,0.0246284934281379,-0.1628774331696983
validation,X4,14,session_034,175,75295.0,132519.0,0,0.0085377271797406,-0.0113950103192356
validation,X4,15,session_035,175,75558.0,135749.0,0,-0.031833752807178,0.0393709352255771
validation,X4,16,session_036,175,75393.0,98545.0,0,-0.0300283727696717,-0.0972754225367352
validation,X4,17,session_037,175,75226.0,86831.0,0,-0.0964861275346102,-0.0218595541867425
validation,X4,18,session_038,175,75324.0,1527626.0,0,-0.0076596086692263,0.067670722984332
validation,X4,19,session_039,175,75338.0,651549.0,0,0.1016394421197287,0.0572215774289186
validation,X4,20,session_040,175,75354.0,87407.0,0,0.0642352516061092,0.0330735288757676
validation,E2E,1,session_021,175,1211349.0,7135969.0,0,-0.0308809396675794,-0.0186804863464221
validation,E2E,2,session_022,175,1069687.0,2070251.0,0,-2.273683588529384e-05,0.0969743978751079
validation,E2E,3,session_023,175,1069571.0,1110287.0,0,-0.1096752108316243,0.0920824083766055
validation,E2E,4,session_024,175,1069676.0,1091541.0,0,-0.0102435737701924,-0.0940951487118624
validation,E2E,5,session_025,175,1069663.0,2068580.0,0,-0.0045864553338676,0.1341549255669328
validation,E2E,6,session_026,175,1069654.0,1093471.0,0,0.0160677427421144,-0.0266422010824995
validation,E2E,7,session_027,175,1069670.0,1107973.0,0,-0.0061425080617423,0.0067496765257959
validation,E2E,8,session_028,175,1069593.0,2528018.0,0,-0.0121795452755566,-0.0722583217061989
validation,E2E,9,session_029,175,1069447.0,1116784.0,0,-0.006796939652729,0.0637431389946569
validation,E2E,10,session_030,175,1069571.0,2199149.0,0,-0.0168573890150677,-0.1368775278454527
validation,E2E,11,session_031,175,1069439.0,2069485.0,0,-0.007125433431039,0.0184094499489164
validation,E2E,12,session_032,175,1069617.0,2069872.0,0,-0.0002579479968264,-0.0612844843394599
validation,E2E,13,session_033,175,1069649.0,1252511.0,0,0.0258059641522353,-0.1759826327233297
validation,E2E,14,session_034,175,1069597.0,2075478.0,0,0.0011522021110091,-0.0516116135954376
validation,E2E,15,session_035,175,1069810.0,1131840.0,0,-0.0383890567304979,0.0221943043806586
validation,E2E,16,session_036,175,1069742.0,1093019.0,0,-0.0068372624571402,-0.0410566420264929
validation,E2E,17,session_037,175,1069478.0,1081780.0,0,-0.0507424159026255,-0.013124549388193
validation,E2E,18,session_038,175,1069561.0,2524690.0,0,-0.0101964973839666,-0.0095526746805714
validation,E2E,19,session_039,175,1069687.0,1647470.0,0,0.1024772318742939,0.123641756229128
validation,E2E,20,session_040,175,1069650.0,1083135.0,0,-0.0479270178015105,-0.0587136506475711
